review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,product_category
rvwttw-a099-11ec-97fc-7de7a20d3f00,nuevwty4-a099-11ec-97fc-7de7a20d3f00,5,Amei!,Produto lindo e chegou super rápido!,2024-02-05 08:00:00,2024-02-05 12:30:00,beleza
swxuux-a099-11ec-97fc-7de7a20d3f01,ovfwxuz5-a099-11ec-97fc-7de7a20d3f01,3,Comum,Produto comum. Sem destaque.,2024-02-06 15:15:00,2024-02-07 09:45:00,automotivo
txyyyy-a099-11ec-97fc-7de7a20d3f02,pwgxyva6-a099-11ec-97fc-7de7a20d3f02,4,Bom,Gostei do produto. Atendeu minhas expectativas.,2024-02-07 12:30:00,2024-02-07 17:00:00,construcao
uyzzzz-a099-11ec-97fc-7de7a20d3f03,qxhyzwb7-a099-11ec-97fc-7de7a20d3f03,1,Horrível,Pior compra da minha vida. Produto veio quebrado.,2024-02-08 16:00:00,2024-02-10 14:15:00,moveis
vzaaaa-a099-11ec-97fc-7de7a20d3f04,ryizaxc8-a099-11ec-97fc-7de7a20d3f04,5,Top!,Produto top! Super recomendo!,2024-02-09 09:30:00,2024-02-09 13:00:00,telefonia
wabbbb-a099-11ec-97fc-7de7a20d3f05,szjabyd9-a099-11ec-97fc-7de7a20d3f05,4,Satisfatório,Produto bom e preço justo.,2024-02-10 14:45:00,2024-02-11 10:15:00,audio
xbcccc-a099-11ec-97fc-7de7a20d3f06,takbcze0-a099-11ec-97fc-7de7a20d3f06,2,Demorou muito,Produto ok mas demorou mais de um mês para chegar.,2024-02-11 11:00:00,2024-03-15 09:00:00,importados
ycddddd-a099-11ec-97fc-7de7a20d3f07,ublcdaf1-a099-11ec-97fc-7de7a20d3f07,5,Excelente qualidade,Produto de excelente qualidade. Vale cada centavo!,2024-02-12 08:15:00,2024-02-12 12:45:00,eletronicos
zdeeee-a099-11ec-97fc-7de7a20d3f08,vcmdebg2-a099-11ec-97fc-7de7a20d3f08,3,Mais ou menos,Esperava mais. É aceitável.,2024-02-13 13:30:00,2024-02-14 10:00:00,games
aeffff-a099-11ec-97fc-7de7a20d3f09,wdnfech3-a099-11ec-97fc-7de7a20d3f09,4,Recomendo,Boa compra. Produto conforme anunciado.,2024-02-14 10:45:00,2024-02-14 15:20:00,musica
